permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1980-001082 EP,Residential ,Remodel,8311 Roan Lane    **No Abcstr Rec**C .00000,10/01/1980,New Residence,VOID,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 12 Block: P Subdivision: WINDMILL RUN SEC 1,8311 ROAN LANE,30.2376027,-97.89642594,,,,,
1980-001082 MP,Residential ,Remodel,8311 Roan Lane    **No Abcstr Rec**C .00000,10/01/1980,New Residence,VOID,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 12 Block: P Subdivision: WINDMILL RUN SEC 1,8311 ROAN LANE,30.2376027,-97.89642594,,,,,
1980-001082 PP,Residential ,Remodel,8311 Roan Lane    **No Abcstr Rec**C .00000,10/01/1980,New Residence,VOID,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 12 Block: P Subdivision: WINDMILL RUN SEC 1,8311 ROAN LANE,30.2376027,-97.89642594,,,,,
1980-005553 BP,R- 435 Renovations/Remodel ,Remodel,1300 Travis Heights Boulevard      A  00000,10/01/1980,Repair And Remodel Existing Residence,VOID,,,,,,,,,,,,,,,,,,,,,,,,10000,,1,,Lot: 9 Block:   Subdivision:  ,1300 TRAVIS HEIGHTS BOULEVARD,30.24778484,-97.739987,,,,,
1980-005553 EP,R- 435 Renovations/Remodel ,Remodel,1300 Travis Heights Boulevard      A  00000,10/01/1980,Repair And Remodel Existing Residence,Final,,,,,,,,,,,,,,,,,,,,,,,,10000,,1,,Lot: 9 Block:   Subdivision:  ,1300 TRAVIS HEIGHTS BOULEVARD,30.24778484,-97.739987,,,,,
1980-005553 MP,R- 435 Renovations/Remodel ,Remodel,1300 Travis Heights Boulevard      A  00000,10/01/1980,Repair And Remodel Existing Residence,VOID,,,,,,,,,,,,,,,,,,,,,,,,10000,,1,,Lot: 9 Block:   Subdivision:  ,1300 TRAVIS HEIGHTS BOULEVARD,30.24778484,-97.739987,,,,,
1980-005554 BP,R- 434 Addition & Alterations,Addition,802 Theresa Avenue                A  00000,10/01/1980,Repair & Remodel & Addn. To Create 2 Stry Res,VOID,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,Lot: 10 Block: 4 Subdivision: WASHINGTON HEIGHTS,802 THERESA AVENUE,30.28009417,-97.7659922,,,,,
1980-005554 EP,R- 434 Addition & Alterations,Addition,802 Theresa Avenue                A  00000,10/01/1980,Repair & Remodel & Addn. To Create 2 Stry Res,Final,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,Lot: 10 Block: 4 Subdivision: WASHINGTON HEIGHTS,802 THERESA AVENUE,30.28009417,-97.7659922,,,,,
1980-005554 MP,R- 434 Addition & Alterations,Addition,802 Theresa Avenue                A  00000,10/01/1980,Repair & Remodel & Addn. To Create 2 Stry Res,VOID,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,Lot: 10 Block: 4 Subdivision: WASHINGTON HEIGHTS,802 THERESA AVENUE,30.28009417,-97.7659922,,,,,
1980-005554 PP,R- 434 Addition & Alterations,Addition,802 Theresa Avenue                A  00000,10/01/1980,Repair & Remodel & Addn. To Create 2 Stry Res,VOID,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,Lot: 10 Block: 4 Subdivision: WASHINGTON HEIGHTS,802 THERESA AVENUE,30.28009417,-97.7659922,,,,,
1980-005556 PP,Commercial,Remodel,7309 I H 35 N     **No Abcstr Rec**A .00000,10/01/1980,Comm,VOID,,,,,,,,,,,CHRYSLER GROUP REALTY COMPANY LLC,,,,,,AUBURN HILLS,MI,48326 2766,,,,,,,1,,5.2996AC OF LOT 1 CHRYSLER ADDN,7309 I H 35 N,30.18325877,-97.77388336,,,,,
1980-005562 EP,Residential ,Remodel,1501 Camp Craft Road               H .00000,10/01/1980,Res,Expired,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 10 Block: B Subdivision: WESTLAKE CROSSROADS,1501 CAMP CRAFT ROAD,30.27386285,-97.81622238,,,,,
1980-005562 MP,Residential ,Remodel,1501 Camp Craft Road               H .00000,10/01/1980,Res,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 10 Block: B Subdivision: WESTLAKE CROSSROADS,1501 CAMP CRAFT ROAD,30.27386285,-97.81622238,,,,,
1980-005562 PP,Residential ,Remodel,1501 Camp Craft Road               H .00000,10/01/1980,Res,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 10 Block: B Subdivision: WESTLAKE CROSSROADS,1501 CAMP CRAFT ROAD,30.27386285,-97.81622238,,,,,
1980-005565 BP,R- 101 Single Family Houses,New,12110 Wycliff Lane                  A  00000,10/01/1980,2 Stry Frm Res W/Mas Ven & Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,64179,,1,,,12110 WYCLIFF LANE,30.41858828,-97.72700414,,,,,
1980-005565 DS,Res. Driveway & Sidewalk,New,12110 Wycliff Lane                  A  00000,10/01/1980,2 Stry Frm Res W/Mas Ven & Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,64179,,,,,12110 WYCLIFF LANE,30.41858828,-97.72700414,,,,,
1980-005565 EP,R- 101 Single Family Houses,New,12110 Wycliff Lane                  A  00000,10/01/1980,2 Stry Frm Res W/Mas Ven & Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,64179,,1,,,12110 WYCLIFF LANE,30.41858828,-97.72700414,,,,,
1980-005565 MP,R- 101 Single Family Houses,New,12110 Wycliff Lane                  A  00000,10/01/1980,2 Stry Frm Res W/Mas Ven & Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,64179,,1,,,12110 WYCLIFF LANE,30.41858828,-97.72700414,,,,,
