permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1980-004466 BP,R- 101 Single Family Houses,New,6701 Side Saddle Street            A  00000,07/22/1980,1 Stry Frm Resw/Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 12 Block: C Subdivision:  ,6701 SIDE SADDLE STREET,30.21401671,-97.82478739,,,,,
1980-004466 DS,Res. Driveway & Sidewalk,New,6701 Side Saddle Street            A  00000,07/22/1980,1 Stry Frm Resw/Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot: 12 Block: C Subdivision:  ,6701 SIDE SADDLE STREET,30.21401671,-97.82478739,,,,,
1980-004466 EP,R- 101 Single Family Houses,New,6701 Side Saddle Street            A  00000,07/22/1980,1 Stry Frm Resw/Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 12 Block: C Subdivision:  ,6701 SIDE SADDLE STREET,30.21401671,-97.82478739,,,,,
1980-004466 MP,R- 101 Single Family Houses,New,6701 Side Saddle Street            A  00000,07/22/1980,1 Stry Frm Resw/Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 12 Block: C Subdivision:  ,6701 SIDE SADDLE STREET,30.21401671,-97.82478739,,,,,
1980-004466 PP,R- 101 Single Family Houses,New,6701 Side Saddle Street            A  00000,07/22/1980,1 Stry Frm Resw/Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 12 Block: C Subdivision:  ,6701 SIDE SADDLE STREET,30.21401671,-97.82478739,,,,,
1980-004467 BP,C-1000 Commercial Remodel,Remodel,800 30 Street East                A  00207,07/22/1980,Remodel Int Of Comm Bldg Create Dr Office,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,800 30 STREET EAST,30.29841939,-97.74519287,,,,,
1980-004467 EP,C-1000 Commercial Remodel,Remodel,800 30 Street East                A  00207,07/22/1980,Remodel Int Of Comm Bldg Create Dr Office,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,800 30 STREET EAST,30.29841939,-97.74519287,,,,,
1980-004467 MP,C-1000 Commercial Remodel,Remodel,800 30 Street East                A  00207,07/22/1980,Remodel Int Of Comm Bldg Create Dr Office,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,800 30 STREET EAST,30.29841939,-97.74519287,,,,,
1980-004467 PP,C-1000 Commercial Remodel,Remodel,800 30 Street East                A  00207,07/22/1980,Remodel Int Of Comm Bldg Create Dr Office,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,800 30 STREET EAST,30.29841939,-97.74519287,,,,,
1980-004468 BP,R- 101 Single Family Houses,New,8155 Meandering Way                A  00000,07/22/1980,2 Stry Pud W/Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8155 MEANDERING WAY,30.37132977,-97.75303978,,,,,
1980-004468 DS,Res. Driveway & Sidewalk,New,8155 Meandering Way                A  00000,07/22/1980,2 Stry Pud W/Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8155 MEANDERING WAY,30.37132977,-97.75303978,,,,,
1980-004468 EP,R- 101 Single Family Houses,New,8155 Meandering Way                A  00000,07/22/1980,2 Stry Pud W/Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8155 MEANDERING WAY,30.37132977,-97.75303978,,,,,
1980-004468 MP,R- 101 Single Family Houses,New,8155 Meandering Way                A  00000,07/22/1980,2 Stry Pud W/Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8155 MEANDERING WAY,30.37132977,-97.75303978,,,,,
1980-004468 PP,R- 101 Single Family Houses,New,8155 Meandering Way                A  00000,07/22/1980,2 Stry Pud W/Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8155 MEANDERING WAY,30.37132977,-97.75303978,,,,,
1980-004470 BP,R- 103 Two Family Bldgs,New,7703 Peacefulhl Ln**No Abcstr Rec**C  00000,07/22/1980,1 Sty Frm Duplex W/Mas Ven & Cp,Final,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7703 PEACEFULHL LN**NO ABCSTR REC**C 00000,,,,,,,
1980-004470 DS,Res. Driveway & Sidewalk,New,7703 Peacefulhl Ln**No Abcstr Rec**C  00000,07/22/1980,1 Sty Frm Duplex W/Mas Ven & Cp,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7703 PEACEFULHL LN**NO ABCSTR REC**C 00000,,,,,,,
1980-004470 EP,R- 103 Two Family Bldgs,New,7703 Peacefulhl Ln**No Abcstr Rec**C  00000,07/22/1980,1 Sty Frm Duplex W/Mas Ven & Cp,Final,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7703 PEACEFULHL LN**NO ABCSTR REC**C 00000,,,,,,,
1980-004470 MP,R- 103 Two Family Bldgs,New,7703 Peacefulhl Ln**No Abcstr Rec**C  00000,07/22/1980,1 Sty Frm Duplex W/Mas Ven & Cp,Final,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7703 PEACEFULHL LN**NO ABCSTR REC**C 00000,,,,,,,
1980-004470 PP,R- 103 Two Family Bldgs,New,7703 Peacefulhl Ln**No Abcstr Rec**C  00000,07/22/1980,1 Sty Frm Duplex W/Mas Ven & Cp,Final,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7703 PEACEFULHL LN**NO ABCSTR REC**C 00000,,,,,,,
1980-004471 BP,R- 101 Single Family Houses,New,400 Dittmar Road West             A  00000,07/22/1980,1 Stry Frm Duplex With Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 7 Block: J Subdivision: MEADOW RIDGE,400 DITTMAR ROAD WEST,30.1832107,-97.78758127,,,,,
1980-004471 DS,Res. Driveway & Sidewalk,New,400 Dittmar Road West             A  00000,07/22/1980,1 Stry Frm Duplex With Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot: 7 Block: J Subdivision: MEADOW RIDGE,400 DITTMAR ROAD WEST,30.1832107,-97.78758127,,,,,
1980-004471 EP,R- 101 Single Family Houses,New,400 Dittmar Road West             A  00000,07/22/1980,1 Stry Frm Duplex With Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 7 Block: J Subdivision: MEADOW RIDGE,400 DITTMAR ROAD WEST,30.1832107,-97.78758127,,,,,
1980-004471 MP,R- 101 Single Family Houses,New,400 Dittmar Road West             A  00000,07/22/1980,1 Stry Frm Duplex With Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 7 Block: J Subdivision: MEADOW RIDGE,400 DITTMAR ROAD WEST,30.1832107,-97.78758127,,,,,
1980-004471 PP,R- 101 Single Family Houses,New,400 Dittmar Road West             A  00000,07/22/1980,1 Stry Frm Duplex With Mas Ven And Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Lot: 7 Block: J Subdivision: MEADOW RIDGE,400 DITTMAR ROAD WEST,30.1832107,-97.78758127,,,,,
1980-004472 BP,R- 101 Single Family Houses,New,11201 Barrington Way                A  00000,07/22/1980,One Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11201 BARRINGTON WAY,30.42277286,-97.77311381,,,,,
1980-004472 DS,Res. Driveway & Sidewalk,New,11201 Barrington Way                A  00000,07/22/1980,One Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11201 BARRINGTON WAY,30.42277286,-97.77311381,,,,,
1980-004472 EP,R- 101 Single Family Houses,New,11201 Barrington Way                A  00000,07/22/1980,One Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11201 BARRINGTON WAY,30.42277286,-97.77311381,,,,,
1980-004472 MP,R- 101 Single Family Houses,New,11201 Barrington Way                A  00000,07/22/1980,One Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11201 BARRINGTON WAY,30.42277286,-97.77311381,,,,,
1980-004472 PP,R- 101 Single Family Houses,New,11201 Barrington Way                A  00000,07/22/1980,One Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11201 BARRINGTON WAY,30.42277286,-97.77311381,,,,,
1980-004473 BP,R- 101 Single Family Houses,New,11105 Barrington Way                A  00000,07/22/1980,Two Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11105 BARRINGTON WAY,30.42243958,-97.77253793,,,,,
1980-004473 DS,Res. Driveway & Sidewalk,New,11105 Barrington Way                A  00000,07/22/1980,Two Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11105 BARRINGTON WAY,30.42243958,-97.77253793,,,,,
1980-004473 EP,R- 101 Single Family Houses,New,11105 Barrington Way                A  00000,07/22/1980,Two Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11105 BARRINGTON WAY,30.42243958,-97.77253793,,,,,
1980-004473 MP,R- 101 Single Family Houses,New,11105 Barrington Way                A  00000,07/22/1980,Two Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11105 BARRINGTON WAY,30.42243958,-97.77253793,,,,,
1980-004473 PP,R- 101 Single Family Houses,New,11105 Barrington Way                A  00000,07/22/1980,Two Stry Frm Res W/Mas Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11105 BARRINGTON WAY,30.42243958,-97.77253793,,,,,
