permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1991-007547 BP,C-1000 Commercial Remodel,Remodel,7104 Berkman Drive                 A .00000,06/17/1991,Remodel Interior Of Exist School-Reagan High,Final,,,,,,,,,,,,,,,,,,,,,,,,25000,,1,,"Lot:   Block:   Subdivision: SCHOOL (PUBLIC OR PRIVATE) OR OTHER SCHOOL FACILITY, SUCH AS BUS BARNS, ATHLETIC FIELDS, ETC.",7104 BERKMAN DRIVE,30.3240245,-97.69002696,,,,,
1991-007548 BP,C-1000 Commercial Remodel,Remodel,1112 Arthur Stiles Road            A .00000,06/17/1991,Remodel Interior Of Exist School-Johnston High,Final,,,,,,,,,,,,,,,,,,,,,,,,52000,,1,,Lot:   Block: A Subdivision:  ,1112 ARTHUR STILES ROAD,,,,,,,
1991-007548 PP,C-1000 Commercial Remodel,Remodel,1112 Arthur Stiles Road            A .00000,06/17/1991,Remodel Interior Of Exist School-Johnston High,Final,,,,,,,,,,,,,,,,,,,,,,,,52000,,1,,Lot:   Block: A Subdivision:  ,1112 ARTHUR STILES ROAD,,,,,,,
1991-007549 BP,C-1000 Commercial Remodel,Remodel,7309 Lazy Creek Drive              A .00000,06/17/1991,Remodel Interior Of Exist School-Lbj High,Final,,,,,,,,,,,,,,,,,,,,,,,,40000,,1,,ABS 22 SUR 29 TANNEHILL J C ACR 42.345,7309 LAZY CREEK DRIVE,30.31412595,-97.65702328,,,,,
1991-007550 BP,C-1000 Commercial Remodel,Remodel,1601 Haskell Street                A  00000,06/17/1991,Remodel Interior Of Exist School-Martin Jr,Final,,,,,,,,,,,AUSTIN INDEPENDENT SCHOOL DISTRICT,,,,,,AUSTIN,TX,78703 5338,,,,,48000,,1,,Lot: 8 Block:   Subdivision: LEONARD M. TOBINS RESUB OF RIVERSIDE ADDITION,1601 HASKELL STREET,30.2528545,-97.73012655,,,,,
1991-007551 BP,C-1000 Commercial Remodel,Remodel,505 Anderson Lane West            A  00000,06/17/1991,Remodel Interior Of Exist School-Brown,Final,,,,,,,,,,,,,,,,,,,,,,,,15000,,1,,,505 ANDERSON LANE WEST,30.34491893,-97.70929984,,,,,
1991-007552 BP,C-1000 Commercial Remodel,Remodel,3100  4 Street East                A  00000,06/17/1991,Remodel Interior Of Exist School-Brooke,Final,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,,3100 4 STREET EAST,30.25462366,-97.70805578,,,,,
1991-007555 BP,C-1000 Commercial Remodel,Remodel,400 Cooper Drive                  A  00000,06/17/1991,Remodel Interior Of Exist School-Barrington,Final,,,,,,,,,,,AUSTIN INDEPENDENT SCHOOL DISTRICT,,,,,,AUSTIN,TX,78703 5338,,,,,11000,,1,,ABS 29 SUR 58 APPLEGATE J ACR 11.712,400 COOPER DRIVE,30.360599,-97.6958867,,,,,
1991-007557 BP,C-1000 Commercial Remodel,Remodel,1201 Peyton Gin Road               A  00000,06/17/1991,Remodel Interior Of Exist School-Lanier High,Final,,,,,,,,,,,,,,,,,,,,,,,,36000,,1,,Lot:   Block: A Subdivision:  ,1201 PEYTON GIN ROAD,,,,,,,
1991-007559 BP,C-1000 Commercial Remodel,Remodel,910 St Johns Avenue East          A  00000,06/17/1991,Remodel Interior Of Exist School-St.Johns Cntr,Final,,,,,,,,,,,,,,,,,,,,,,,,14000,,1,,Lot:   Block: A Subdivision:  ,910 ST JOHNS AVENUE EAST,,,,,,,
