permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1991-001220 MP,Commercial,Remodel,833 Fairfield Drive               A  00000,08/27/1991,Install Electric To Gates,VOID,,,,,,,,,,,SBV AUSTIN SUMMER WIND LLC,,,,,,DALLAS,TX,75204 2921,,,,,1200,,1,,,833 FAIRFIELD DRIVE,30.35645081,-97.70404102,,,,,
1991-004042 BP,R- 101 Single Family Houses,New,3708 Leadville Drive               C  00000,08/27/1991,New One Story Residence With Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,113400,,1,,"Lot: 24 Block: B Subdivision: OAK CREEK PARKE, SECTION TWO",3708 LEADVILLE DRIVE,30.18110448,-97.85644561,,,,,
1991-004042 DS,Res. Driveway & Sidewalk,New,3708 Leadville Drive               C  00000,08/27/1991,New One Story Residence With Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,113400,,,,"Lot: 24 Block: B Subdivision: OAK CREEK PARKE, SECTION TWO",3708 LEADVILLE DRIVE,30.18110448,-97.85644561,,,,,
1991-004042 EP,R- 101 Single Family Houses,New,3708 Leadville Drive               C  00000,08/27/1991,New One Story Residence With Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,113400,,1,,"Lot: 24 Block: B Subdivision: OAK CREEK PARKE, SECTION TWO",3708 LEADVILLE DRIVE,30.18110448,-97.85644561,,,,,
1991-004042 MP,R- 101 Single Family Houses,New,3708 Leadville Drive               C  00000,08/27/1991,New One Story Residence With Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,113400,,1,,"Lot: 24 Block: B Subdivision: OAK CREEK PARKE, SECTION TWO",3708 LEADVILLE DRIVE,30.18110448,-97.85644561,,,,,
1991-004042 PP,R- 101 Single Family Houses,New,3708 Leadville Drive               C  00000,08/27/1991,New One Story Residence With Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,113400,,1,,"Lot: 24 Block: B Subdivision: OAK CREEK PARKE, SECTION TWO",3708 LEADVILLE DRIVE,30.18110448,-97.85644561,,,,,
1991-004162 BP,R- 101 Single Family Houses,New,10714 Misting Falls Trail           A  00000,08/27/1991,One Story Residence W/Attached Garage,Expired,,,,,,,,,,,,,,,,,,,,,,,,85575,,1,,,10714 MISTING FALLS TRAIL,30.40629846,-97.75088775,,,,,
1991-004162 EP,R- 101 Single Family Houses,New,10714 Misting Falls Trail           A  00000,08/27/1991,One Story Residence W/Attached Garage,VOID,,,,,,,,,,,,,,,,,,,,,,,,85575,,1,,,10714 MISTING FALLS TRAIL,30.40629846,-97.75088775,,,,,
1991-004162 MP,R- 101 Single Family Houses,New,10714 Misting Falls Trail           A  00000,08/27/1991,One Story Residence W/Attached Garage,VOID,,,,,,,,,,,,,,,,,,,,,,,,85575,,1,,,10714 MISTING FALLS TRAIL,30.40629846,-97.75088775,,,,,
1991-004162 PP,R- 101 Single Family Houses,New,10714 Misting Falls Trail           A  00000,08/27/1991,One Story Residence W/Attached Garage,VOID,,,,,,,,,,,,,,,,,,,,,,,,85575,,1,,,10714 MISTING FALLS TRAIL,30.40629846,-97.75088775,,,,,
1991-004168 BP,R- 101 Single Family Houses,New,10905 Peale Court                   A  00000,08/27/1991,Two Story Residence W/Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,118580,,1,,,10905 PEALE COURT,30.43524423,-97.82316957,,,,,
1991-004168 DS,Res. Driveway & Sidewalk,New,10905 Peale Court                   A  00000,08/27/1991,Two Story Residence W/Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,118580,,,,,10905 PEALE COURT,30.43524423,-97.82316957,,,,,
1991-004168 EP,R- 101 Single Family Houses,New,10905 Peale Court                   A  00000,08/27/1991,Two Story Residence W/Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,118580,,1,,,10905 PEALE COURT,30.43524423,-97.82316957,,,,,
1991-004168 MP,R- 101 Single Family Houses,New,10905 Peale Court                   A  00000,08/27/1991,Two Story Residence W/Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,118580,,1,,,10905 PEALE COURT,30.43524423,-97.82316957,,,,,
1991-004168 PP,R- 101 Single Family Houses,New,10905 Peale Court                   A  00000,08/27/1991,Two Story Residence W/Attached Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,118580,,1,,,10905 PEALE COURT,30.43524423,-97.82316957,,,,,
