permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1984-009025 BP,R- 101 Single Family Houses,New,5677 Rain Creek Parkway            A  00000,01/31/1984,2 Stry Frm Res W/Stone Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,111650,,1,,,5677 RAIN CREEK PARKWAY,30.40518991,-97.75950366,,,,,
1984-009025 DS,Res. Driveway & Sidewalk,New,5677 Rain Creek Parkway            A  00000,01/31/1984,2 Stry Frm Res W/Stone Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,111650,,,,,5677 RAIN CREEK PARKWAY,30.40518991,-97.75950366,,,,,
1984-009025 EP,R- 101 Single Family Houses,New,5677 Rain Creek Parkway            A  00000,01/31/1984,2 Stry Frm Res W/Stone Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,111650,,1,,,5677 RAIN CREEK PARKWAY,30.40518991,-97.75950366,,,,,
1984-009025 MP,R- 101 Single Family Houses,New,5677 Rain Creek Parkway            A  00000,01/31/1984,2 Stry Frm Res W/Stone Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,111650,,1,,,5677 RAIN CREEK PARKWAY,30.40518991,-97.75950366,,,,,
1984-009025 PP,R- 101 Single Family Houses,New,5677 Rain Creek Parkway            A  00000,01/31/1984,2 Stry Frm Res W/Stone Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,111650,,1,,,5677 RAIN CREEK PARKWAY,30.40518991,-97.75950366,,,,,
1984-009034 BP,R- 434 Addition & Alterations,Addition,1602 Morgan Lane                   A  00000,01/31/1984,Remodel & Addition To Ext Res To Create A ****,Final,,,,,,,,,,,,,,,,,,,,,,,,4000,,1,,Lot:   Block:   Subdivision: BANISTER HEIGHTS SUBDIVISION,1602 MORGAN LANE,30.2300905,-97.78182034,,,,,
1984-009034 DS,Res. Driveway & Sidewalk,Modification,1602 Morgan Lane                   A  00000,01/31/1984,Remodel & Addition To Ext Res To Create A ****,Final,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,Lot:   Block:   Subdivision: BANISTER HEIGHTS SUBDIVISION,1602 MORGAN LANE,30.2300905,-97.78182034,,,,,
1984-009034 EP,R- 434 Addition & Alterations,Addition,1602 Morgan Lane                   A  00000,01/31/1984,Remodel & Addition To Ext Res To Create A ****,Final,,,,,,,,,,,,,,,,,,,,,,,,4000,,1,,Lot:   Block:   Subdivision: BANISTER HEIGHTS SUBDIVISION,1602 MORGAN LANE,30.2300905,-97.78182034,,,,,
1984-009034 MP,R- 434 Addition & Alterations,Addition,1602 Morgan Lane                   A  00000,01/31/1984,Remodel & Addition To Ext Res To Create A ****,Final,,,,,,,,,,,,,,,,,,,,,,,,4000,,1,,Lot:   Block:   Subdivision: BANISTER HEIGHTS SUBDIVISION,1602 MORGAN LANE,30.2300905,-97.78182034,,,,,
1984-009034 PP,R- 434 Addition & Alterations,Addition,1602 Morgan Lane                   A  00000,01/31/1984,Remodel & Addition To Ext Res To Create A ****,Final,,,,,,,,,,,,,,,,,,,,,,,,4000,,1,,Lot:   Block:   Subdivision: BANISTER HEIGHTS SUBDIVISION,1602 MORGAN LANE,30.2300905,-97.78182034,,,,,
1984-012917 BP,C- 329 Com Structures Other Than Bldg ,New,1814 Rockcliff Road                C  00000,01/31/1984,Construction Of New Bulkhead,Expired,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1814 ROCKCLIFF ROAD,,,,,,,
1984-013701 BP,R- 101 Single Family Houses,New,4411 Dudley Drive                  C  00000,01/31/1984,One Sty Frm Res W/Mas Ven And No Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,44450,,1,,Lot: 7 Block:   Subdivision: BARTON VIEW SEC 4,4411 DUDLEY DRIVE,30.23660579,-97.80608836,,,,,
1984-013701 DS,Res. Driveway & Sidewalk,New,4411 Dudley Drive                  C  00000,01/31/1984,One Sty Frm Res W/Mas Ven And No Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,44450,,,,Lot: 7 Block:   Subdivision: BARTON VIEW SEC 4,4411 DUDLEY DRIVE,30.23660579,-97.80608836,,,,,
1984-013701 EP,R- 101 Single Family Houses,New,4411 Dudley Drive                  C  00000,01/31/1984,One Sty Frm Res W/Mas Ven And No Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,44450,,1,,Lot: 7 Block:   Subdivision: BARTON VIEW SEC 4,4411 DUDLEY DRIVE,30.23660579,-97.80608836,,,,,
1984-013701 MP,R- 101 Single Family Houses,New,4411 Dudley Drive                  C  00000,01/31/1984,One Sty Frm Res W/Mas Ven And No Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,44450,,1,,Lot: 7 Block:   Subdivision: BARTON VIEW SEC 4,4411 DUDLEY DRIVE,30.23660579,-97.80608836,,,,,
1984-013701 PP,R- 101 Single Family Houses,New,4411 Dudley Drive                  C  00000,01/31/1984,One Sty Frm Res W/Mas Ven And No Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,44450,,1,,Lot: 7 Block:   Subdivision: BARTON VIEW SEC 4,4411 DUDLEY DRIVE,30.23660579,-97.80608836,,,,,
1984-018088 BP,R- 101 Single Family Houses,New,4807 Crest Oak Road                A  00000,01/31/1984,1 Stry Frm Res W/Brk Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,46480,,1,,Lot: 8 Block: C Subdivision:  ,4807 CREST OAK ROAD,30.19671812,-97.734499,,,,,
1984-018088 DS,Res. Driveway & Sidewalk,New,4807 Crest Oak Road                A  00000,01/31/1984,1 Stry Frm Res W/Brk Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,46480,,,,Lot: 8 Block: C Subdivision:  ,4807 CREST OAK ROAD,30.19671812,-97.734499,,,,,
1984-018088 EP,R- 101 Single Family Houses,New,4807 Crest Oak Road                A  00000,01/31/1984,1 Stry Frm Res W/Brk Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,46480,,1,,Lot: 8 Block: C Subdivision:  ,4807 CREST OAK ROAD,30.19671812,-97.734499,,,,,
1984-018088 MP,R- 101 Single Family Houses,New,4807 Crest Oak Road                A  00000,01/31/1984,1 Stry Frm Res W/Brk Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,46480,,1,,Lot: 8 Block: C Subdivision:  ,4807 CREST OAK ROAD,30.19671812,-97.734499,,,,,
1984-018088 PP,R- 101 Single Family Houses,New,4807 Crest Oak Road                A  00000,01/31/1984,1 Stry Frm Res W/Brk Ven & Att Gar,Final,,,,,,,,,,,,,,,,,,,,,,,,46480,,1,,Lot: 8 Block: C Subdivision:  ,4807 CREST OAK ROAD,30.19671812,-97.734499,,,,,
