permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1997-004361 BP,C- 327 Stores & Customer Services,New,13201 Ranch Road 620 North          A .00000,08/29/1997,New Fast Food Restaurant W/Drive-Thru Service,Final,,,,,,,,,,,LOWES HOME CENTERS INC,,,,,,NORTH WILKESBORO,NC,28659,,,,,500000,,1,,"MACONDA PARK 620/183, BLOCK A, LOT 1/PT, ACRES 17.6034",13201 RANCH ROAD 620 NORTH,,,,,,,
1997-004361 EP,C- 327 Stores & Customer Services,New,13201 Ranch Road 620 North          A .00000,08/29/1997,New Fast Food Restaurant W/Drive-Thru Service,Final,,,,,,,,,,,LOWES HOME CENTERS INC,,,,,,NORTH WILKESBORO,NC,28659,,,,,500000,,1,,"MACONDA PARK 620/183, BLOCK A, LOT 1/PT, ACRES 17.6034",13201 RANCH ROAD 620 NORTH,,,,,,,
1997-004361 MP,C- 327 Stores & Customer Services,New,13201 Ranch Road 620 North          A .00000,08/29/1997,New Fast Food Restaurant W/Drive-Thru Service,Final,,,,,,,,,,,LOWES HOME CENTERS INC,,,,,,NORTH WILKESBORO,NC,28659,,,,,500000,,1,,"MACONDA PARK 620/183, BLOCK A, LOT 1/PT, ACRES 17.6034",13201 RANCH ROAD 620 NORTH,,,,,,,
1997-004361 PP,C- 327 Stores & Customer Services,New,13201 Ranch Road 620 North          A .00000,08/29/1997,New Fast Food Restaurant W/Drive-Thru Service,Final,,,,,,,,,,,LOWES HOME CENTERS INC,,,,,,NORTH WILKESBORO,NC,28659,,,,,500000,,1,,"MACONDA PARK 620/183, BLOCK A, LOT 1/PT, ACRES 17.6034",13201 RANCH ROAD 620 NORTH,,,,,,,
1997-005602 BP,"C- 213 Hotels, Motels, & Tourist Cabins",New,2700 Gracy Farms Lane              C 100000,08/29/1997,New Hotel,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,1290603,,38,,,2700 GRACY FARMS LANE,30.40672343,-97.71297139,,,,,
1997-005602 DS,Com. Driveway & Sidewalk,New,2700 Gracy Farms Lane              C 100000,08/29/1997,New Hotel,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,1290603,,,,,2700 GRACY FARMS LANE,30.40672343,-97.71297139,,,,,
1997-005602 EP,"C- 213 Hotels, Motels, & Tourist Cabins",New,2700 Gracy Farms Lane              C 100000,08/29/1997,New Hotel,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,1290603,,38,,,2700 GRACY FARMS LANE,30.40672343,-97.71297139,,,,,
1997-005602 MP,"C- 213 Hotels, Motels, & Tourist Cabins",New,2700 Gracy Farms Lane              C 100000,08/29/1997,New Hotel,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,1290603,,38,,,2700 GRACY FARMS LANE,30.40672343,-97.71297139,,,,,
1997-005602 PP,"C- 213 Hotels, Motels, & Tourist Cabins",New,2700 Gracy Farms Lane              C 100000,08/29/1997,New Hotel,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,1290603,,38,,,2700 GRACY FARMS LANE,30.40672343,-97.71297139,,,,,
1997-005603 BP,Commercial,Remodel,2700 Gracy Farms Lane              C 200000,08/29/1997,New Hotel,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,824760,,26,,,2700 GRACY FARMS LANE,30.40672343,-97.71297139,,,,,
