permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1997-004072 BP,Residential ,Remodel,1202 Piedmont Avenue               A  00000,12/19/1997,New Hvac - Low Interest Loan - Ecsd,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,4353,,1,,,1202 PIEDMONT AVENUE,30.34199356,-97.72242005,,,,,
1997-004072 PP,Residential ,Remodel,1202 Piedmont Avenue               A  00000,12/19/1997,New Hvac - Low Interest Loan - Ecsd,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,4353,,1,,,1202 PIEDMONT AVENUE,30.34199356,-97.72242005,,,,,
1997-007422 BP,C- 329 Com Structures Other Than Bldg ,New,12424 Research Boulevard            A  00000,12/19/1997,Commercial Swimming Pool,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,25111,,1,,,12424 RESEARCH BOULEVARD,30.42799013,-97.75801153,,,,,
1997-007422 EP,C- 329 Com Structures Other Than Bldg ,New,12424 Research Boulevard            A  00000,12/19/1997,Commercial Swimming Pool,Final,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,25111,,1,,,12424 RESEARCH BOULEVARD,30.42799013,-97.75801153,,,,,
1997-007422 MP,C- 329 Com Structures Other Than Bldg ,New,12424 Research Boulevard            A  00000,12/19/1997,Commercial Swimming Pool,VOID,,,,,,,,,,,BRE/ESA P PORTFOLIO TXNC PROPERTIES LP % EXTENDED STAY HOTELS,,,,,,SPARTANBURG,SC,29306 5109,,,,,25111,,1,,,12424 RESEARCH BOULEVARD,30.42799013,-97.75801153,,,,,
1997-007862 BP,C- 327 Stores & Customer Services,New,1941 William Cannon Drive East     A .00000,12/19/1997,New Chief Auto Parts,Final,,,,,,,,,,,R & K INVESTMENTS,,,,,,AUSTIN,TX,78735 8721,,,,,260000,,1,,"Lot: 6 Block:   Subdivision: SOUTH CREEK SECTION II, LOT A RESUBDIVISION",1941 WILLIAM CANNON DRIVE EAST,30.18759939,-97.76399943,,,,,
1997-007862 DS,Com. Driveway & Sidewalk,New,1941 William Cannon Drive East     A .00000,12/19/1997,New Chief Auto Parts,Final,,,,,,,,,,,R & K INVESTMENTS,,,,,,AUSTIN,TX,78735 8721,,,,,260000,,,,"Lot: 6 Block:   Subdivision: SOUTH CREEK SECTION II, LOT A RESUBDIVISION",1941 WILLIAM CANNON DRIVE EAST,30.18759939,-97.76399943,,,,,
1997-007862 EP,C- 327 Stores & Customer Services,New,1941 William Cannon Drive East     A .00000,12/19/1997,New Chief Auto Parts,Final,,,,,,,,,,,R & K INVESTMENTS,,,,,,AUSTIN,TX,78735 8721,,,,,260000,,1,,"Lot: 6 Block:   Subdivision: SOUTH CREEK SECTION II, LOT A RESUBDIVISION",1941 WILLIAM CANNON DRIVE EAST,30.18759939,-97.76399943,,,,,
1997-007862 MP,C- 327 Stores & Customer Services,New,1941 William Cannon Drive East     A .00000,12/19/1997,New Chief Auto Parts,Final,,,,,,,,,,,R & K INVESTMENTS,,,,,,AUSTIN,TX,78735 8721,,,,,260000,,1,,"Lot: 6 Block:   Subdivision: SOUTH CREEK SECTION II, LOT A RESUBDIVISION",1941 WILLIAM CANNON DRIVE EAST,30.18759939,-97.76399943,,,,,
1997-007862 PP,C- 327 Stores & Customer Services,New,1941 William Cannon Drive East     A .00000,12/19/1997,New Chief Auto Parts,Final,,,,,,,,,,,R & K INVESTMENTS,,,,,,AUSTIN,TX,78735 8721,,,,,260000,,1,,"Lot: 6 Block:   Subdivision: SOUTH CREEK SECTION II, LOT A RESUBDIVISION",1941 WILLIAM CANNON DRIVE EAST,30.18759939,-97.76399943,,,,,
