permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1998-001016 BP,C-1000 Commercial Remodel,Remodel,3700 North Hills Drive             A .00000,06/25/1998,Interior Remodel To 4 Science Classrooms.....,Final,,,,,,,,,,,AUSTIN INDEPENDENT SCHOOL DISTRICT,,,,,,AUSTIN,TX,78703 5338,,,,,180000,,1,,,3700 NORTH HILLS DRIVE,30.35410683,-97.75836455,,,,,
1998-001016 EP,C-1000 Commercial Remodel,Remodel,3700 North Hills Drive             A .00000,06/25/1998,Interior Remodel To 4 Science Classrooms.....,Final,,,,,,,,,,,AUSTIN INDEPENDENT SCHOOL DISTRICT,,,,,,AUSTIN,TX,78703 5338,,,,,180000,,1,,,3700 NORTH HILLS DRIVE,30.35410683,-97.75836455,,,,,
1998-001016 MP,C-1000 Commercial Remodel,Remodel,3700 North Hills Drive             A .00000,06/25/1998,Interior Remodel To 4 Science Classrooms.....,Final,,,,,,,,,,,AUSTIN INDEPENDENT SCHOOL DISTRICT,,,,,,AUSTIN,TX,78703 5338,,,,,180000,,1,,,3700 NORTH HILLS DRIVE,30.35410683,-97.75836455,,,,,
1998-001016 PP,C-1000 Commercial Remodel,Remodel,3700 North Hills Drive             A .00000,06/25/1998,Interior Remodel To 4 Science Classrooms.....,Final,,,,,,,,,,,AUSTIN INDEPENDENT SCHOOL DISTRICT,,,,,,AUSTIN,TX,78703 5338,,,,,180000,,1,,,3700 NORTH HILLS DRIVE,30.35410683,-97.75836455,,,,,
1998-001434 BP,C-1000 Commercial Remodel,Remodel,1000 41 Street East                A .00820,06/25/1998,Cu & Rmdl Frm Food Sales To Retail,VOID,,,,,,,,,,,,,,,,,,,,,,,,90000,,1,,.918AC OF OLT 19 DIVISION C (LEASEHOLD),1000 41 STREET EAST,30.30047266,-97.71965027,,,,,
1998-001434 EP,C-1000 Commercial Remodel,Remodel,1000 41 Street East                A .00820,06/25/1998,Cu & Rmdl Frm Food Sales To Retail,Final,,,,,,,,,,,,,,,,,,,,,,,,90000,,1,,.918AC OF OLT 19 DIVISION C (LEASEHOLD),1000 41 STREET EAST,30.30047266,-97.71965027,,,,,
1998-001434 MP,C-1000 Commercial Remodel,Remodel,1000 41 Street East                A .00820,06/25/1998,Cu & Rmdl Frm Food Sales To Retail,Final,,,,,,,,,,,,,,,,,,,,,,,,90000,,1,,.918AC OF OLT 19 DIVISION C (LEASEHOLD),1000 41 STREET EAST,30.30047266,-97.71965027,,,,,
1998-001434 PP,C-1000 Commercial Remodel,Remodel,1000 41 Street East                A .00820,06/25/1998,Cu & Rmdl Frm Food Sales To Retail,VOID,,,,,,,,,,,,,,,,,,,,,,,,90000,,1,,.918AC OF OLT 19 DIVISION C (LEASEHOLD),1000 41 STREET EAST,30.30047266,-97.71965027,,,,,
1998-004520 BP,C-1000 Commercial Remodel,Remodel,500 Lamar Boulevard North         A  00120,06/25/1998,Chg Use To Retail & Remodel,Final,,,,,,,,,,,,,,,,,,,,,,,,73000,,1,,Lot: 10 Block: 2 Subdivision:  ,500 LAMAR BOULEVARD NORTH,30.26071677,-97.7589393,,,,,
1998-004520 EP,C-1000 Commercial Remodel,Remodel,500 Lamar Boulevard North         A  00120,06/25/1998,Chg Use To Retail & Remodel,Final,,,,,,,,,,,,,,,,,,,,,,,,73000,,1,,Lot: 10 Block: 2 Subdivision:  ,500 LAMAR BOULEVARD NORTH,30.26071677,-97.7589393,,,,,
