permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1998-000058 BP,R- 435 Renovations/Remodel ,Remodel,3002 Pin Oak Court                 A  00000,04/02/1998,Repair Res To Min Stds 90 Days(Fire Damaged),Final,,,,,,,,,,,,,,,,,,,,,,,,57000,,1,,Lot: 16 Block: D Subdivision:  ,3002 PIN OAK COURT,30.23944003,-97.77443601,,,,,
1998-000058 EP,R- 435 Renovations/Remodel ,Remodel,3002 Pin Oak Court                 A  00000,04/02/1998,Repair Res To Min Stds 90 Days(Fire Damaged),Final,,,,,,,,,,,,,,,,,,,,,,,,57000,,1,,Lot: 16 Block: D Subdivision:  ,3002 PIN OAK COURT,30.23944003,-97.77443601,,,,,
1998-000058 MP,R- 435 Renovations/Remodel ,Remodel,3002 Pin Oak Court                 A  00000,04/02/1998,Repair Res To Min Stds 90 Days(Fire Damaged),Final,,,,,,,,,,,,,,,,,,,,,,,,57000,,1,,Lot: 16 Block: D Subdivision:  ,3002 PIN OAK COURT,30.23944003,-97.77443601,,,,,
1998-000058 PP,R- 435 Renovations/Remodel ,Remodel,3002 Pin Oak Court                 A  00000,04/02/1998,Repair Res To Min Stds 90 Days(Fire Damaged),Final,,,,,,,,,,,,,,,,,,,,,,,,57000,,1,,Lot: 16 Block: D Subdivision:  ,3002 PIN OAK COURT,30.23944003,-97.77443601,,,,,
1998-000739 EP,Sign Permit,Freestanding,3005 Lamar Boulevard South         A  00000,04/02/1998,Bldg Sign For Kidspace,VOID,,,,,,,,,,,CORNERS SHOPPING CENTER LIMITE LIMITED PARTNERSHIP,,,,,,AUSTIN,TX,78759 2346,,,,,,,1,,Lot: 1 Block:   Subdivision: JAY LYNN JOHNSON SUBDIVISION NO. 2,3005 LAMAR BOULEVARD SOUTH,30.24134537,-97.78373739,,,,,
1998-003299 BP,"C- 213 Hotels, Motels, & Tourist Cabins",New,3612 Tudor Boulevard               A .00000,04/02/1998,New Hotel With Swimming Pool...........,Final,,,,,,,,,,,TEXAS AUSTIN HOTEL REALTY LLC % FFC CAPTIAL CORP,,,,,,PITTSBURGH,PA,15222 3115,,,,,4885000,,128,,,3612 TUDOR BOULEVARD,30.38485,-97.73747364,,,,,
1998-003299 DS,Com. Driveway & Sidewalk,New,3612 Tudor Boulevard               A .00000,04/02/1998,New Hotel With Swimming Pool...........,Final,,,,,,,,,,,TEXAS AUSTIN HOTEL REALTY LLC % FFC CAPTIAL CORP,,,,,,PITTSBURGH,PA,15222 3115,,,,,4885000,,,,,3612 TUDOR BOULEVARD,30.38485,-97.73747364,,,,,
1998-003299 EP,"C- 213 Hotels, Motels, & Tourist Cabins",New,3612 Tudor Boulevard               A .00000,04/02/1998,New Hotel With Swimming Pool...........,Final,,,,,,,,,,,TEXAS AUSTIN HOTEL REALTY LLC % FFC CAPTIAL CORP,,,,,,PITTSBURGH,PA,15222 3115,,,,,4885000,,128,,,3612 TUDOR BOULEVARD,30.38485,-97.73747364,,,,,
1998-003299 MP,"C- 213 Hotels, Motels, & Tourist Cabins",New,3612 Tudor Boulevard               A .00000,04/02/1998,New Hotel With Swimming Pool...........,Final,,,,,,,,,,,TEXAS AUSTIN HOTEL REALTY LLC % FFC CAPTIAL CORP,,,,,,PITTSBURGH,PA,15222 3115,,,,,4885000,,128,,,3612 TUDOR BOULEVARD,30.38485,-97.73747364,,,,,
1998-003299 PP,"C- 213 Hotels, Motels, & Tourist Cabins",New,3612 Tudor Boulevard               A .00000,04/02/1998,New Hotel With Swimming Pool...........,Final,,,,,,,,,,,TEXAS AUSTIN HOTEL REALTY LLC % FFC CAPTIAL CORP,,,,,,PITTSBURGH,PA,15222 3115,,,,,4885000,,128,,,3612 TUDOR BOULEVARD,30.38485,-97.73747364,,,,,
