permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1995-001042 BP,R- 435 Renovations/Remodel ,Remodel,2906 12 Street East                A  00000,06/26/1995,Repair Min Stds 60 Days,Final,,,,,,,,,,,MINGOTE DANIEL E & MARITA,,,,,,DRIPPING SPRINGS,TX,78620 3936,,,,,2200,,1,,"Lot: 5A Block:   Subdivision: HENRY ULIT\'S SUBDIVISION, RESUB OF LOT 5 BLK 1",2906 12 STREET EAST,30.27594428,-97.7076439,,,,,
1995-001042 PP,R- 435 Renovations/Remodel ,Remodel,2906 12 Street East                A  00000,06/26/1995,Repair Min Stds 60 Days,Final,,,,,,,,,,,MINGOTE DANIEL E & MARITA,,,,,,DRIPPING SPRINGS,TX,78620 3936,,,,,2200,,1,,"Lot: 5A Block:   Subdivision: HENRY ULIT\'S SUBDIVISION, RESUB OF LOT 5 BLK 1",2906 12 STREET EAST,30.27594428,-97.7076439,,,,,
1995-001306 BP,R- 435 Renovations/Remodel ,Remodel,2933 Martin Luther King Jr Bv E    A .00000,06/26/1995,Repair Min Stds 60 Days(Fire Damaged),Expired,,,,,,,,,,,,,,,,,,,,,,,,500,,1,,,2933 MARTIN LUTHER KING JR BV E,30.28204102,-97.70599337,,,,,
1995-001306 MP,R- 435 Renovations/Remodel ,Remodel,2933 Martin Luther King Jr Bv E    A .00000,06/26/1995,Repair Min Stds 60 Days(Fire Damaged),Expired,,,,,,,,,,,,,,,,,,,,,,,,500,,1,,,2933 MARTIN LUTHER KING JR BV E,30.28204102,-97.70599337,,,,,
1995-001306 PP,R- 435 Renovations/Remodel ,Remodel,2933 Martin Luther King Jr Bv E    A .00000,06/26/1995,Repair Min Stds 60 Days(Fire Damaged),Expired,,,,,,,,,,,,,,,,,,,,,,,,500,,1,,,2933 MARTIN LUTHER KING JR BV E,30.28204102,-97.70599337,,,,,
1995-004246 BP,C-1000 Commercial Remodel,Remodel,2021 Guadalupe Street              A .00000,06/26/1995,Remodel Northeast Entry Of Dobie Mall,Final,,,,,,,,,,,DOBIE AUSTIN LP,,,,,,AUSTIN,TX,78705 5618,,,,,22000,,1,,LOT 1-3&18-20 OLT 21 DIV D HORSTS LOUIS SUBD PLUS ADJ VAC ALLEY,2021 GUADALUPE STREET,30.28346901,-97.74127747,,,,,
1995-004246 PP,C-1000 Commercial Remodel,Remodel,2021 Guadalupe Street              A .00000,06/26/1995,Remodel Northeast Entry Of Dobie Mall,Final,,,,,,,,,,,DOBIE AUSTIN LP,,,,,,AUSTIN,TX,78705 5618,,,,,22000,,1,,LOT 1-3&18-20 OLT 21 DIV D HORSTS LOUIS SUBD PLUS ADJ VAC ALLEY,2021 GUADALUPE STREET,30.28346901,-97.74127747,,,,,
1995-006802 BP,R- 101 Single Family Houses,New,1353 Braided Rope Drive            A  00000,06/26/1995,One Story Residence W/Att Garage & Deck,Final,,,,,,,,,,,,,,,,,,,,,,,,88995,,1,,,1353 BRAIDED ROPE DRIVE,30.41271529,-97.68197524,,,,,
1995-006802 DS,Res. Driveway & Sidewalk,New,1353 Braided Rope Drive            A  00000,06/26/1995,One Story Residence W/Att Garage & Deck,Final,,,,,,,,,,,,,,,,,,,,,,,,88995,,,,,1353 BRAIDED ROPE DRIVE,30.41271529,-97.68197524,,,,,
1995-006802 EP,R- 101 Single Family Houses,New,1353 Braided Rope Drive            A  00000,06/26/1995,One Story Residence W/Att Garage & Deck,Final,,,,,,,,,,,,,,,,,,,,,,,,88995,,1,,,1353 BRAIDED ROPE DRIVE,30.41271529,-97.68197524,,,,,
1995-006802 MP,R- 101 Single Family Houses,New,1353 Braided Rope Drive            A  00000,06/26/1995,One Story Residence W/Att Garage & Deck,Final,,,,,,,,,,,,,,,,,,,,,,,,88995,,1,,,1353 BRAIDED ROPE DRIVE,30.41271529,-97.68197524,,,,,
1995-006802 PP,R- 101 Single Family Houses,New,1353 Braided Rope Drive            A  00000,06/26/1995,One Story Residence W/Att Garage & Deck,Final,,,,,,,,,,,,,,,,,,,,,,,,88995,,1,,,1353 BRAIDED ROPE DRIVE,30.41271529,-97.68197524,,,,,
1995-006879 BP,R- 101 Single Family Houses,New,3308 Texas Star Lane               A  00000,06/26/1995,New Two Story Res W/Att Gar & Covered & Screen,Final,,,,,,,,,,,,,,,,,,,,,,,,163345,,1,,Lot: 6 Block:   Subdivision: MABRY SUBDIVISION,3308 TEXAS STAR LANE,30.26683292,-97.80740966,,,,,
1995-006879 DS,Res. Driveway & Sidewalk,New,3308 Texas Star Lane               A  00000,06/26/1995,New Two Story Res W/Att Gar & Covered & Screen,Final,,,,,,,,,,,,,,,,,,,,,,,,163345,,,,Lot: 6 Block:   Subdivision: MABRY SUBDIVISION,3308 TEXAS STAR LANE,30.26683292,-97.80740966,,,,,
1995-006879 EP,R- 101 Single Family Houses,New,3308 Texas Star Lane               A  00000,06/26/1995,New Two Story Res W/Att Gar & Covered & Screen,Final,,,,,,,,,,,,,,,,,,,,,,,,163345,,1,,Lot: 6 Block:   Subdivision: MABRY SUBDIVISION,3308 TEXAS STAR LANE,30.26683292,-97.80740966,,,,,
1995-006879 MP,R- 101 Single Family Houses,New,3308 Texas Star Lane               A  00000,06/26/1995,New Two Story Res W/Att Gar & Covered & Screen,Final,,,,,,,,,,,,,,,,,,,,,,,,163345,,1,,Lot: 6 Block:   Subdivision: MABRY SUBDIVISION,3308 TEXAS STAR LANE,30.26683292,-97.80740966,,,,,
1995-006879 PP,R- 101 Single Family Houses,New,3308 Texas Star Lane               A  00000,06/26/1995,New Two Story Res W/Att Gar & Covered & Screen,Final,,,,,,,,,,,,,,,,,,,,,,,,163345,,1,,Lot: 6 Block:   Subdivision: MABRY SUBDIVISION,3308 TEXAS STAR LANE,30.26683292,-97.80740966,,,,,
1995-006888 BP,R- 101 Single Family Houses,New,6033 Mordred Lane                  C  00000,06/26/1995,New Two Story Residence W/Att Garage & Entry,Expired,,,,,,,,,,,,,,,,,,,,,,,,111790,,1,,LOT 36 BLK X CIRCLE C RANCH PHS B SEC 14,6033 MORDRED LANE,30.18207985,-97.89406701,,,,,
1995-006888 EP,R- 101 Single Family Houses,New,6033 Mordred Lane                  C  00000,06/26/1995,New Two Story Residence W/Att Garage & Entry,VOID,,,,,,,,,,,,,,,,,,,,,,,,111790,,1,,LOT 36 BLK X CIRCLE C RANCH PHS B SEC 14,6033 MORDRED LANE,30.18207985,-97.89406701,,,,,
1995-006888 MP,R- 101 Single Family Houses,New,6033 Mordred Lane                  C  00000,06/26/1995,New Two Story Residence W/Att Garage & Entry,VOID,,,,,,,,,,,,,,,,,,,,,,,,111790,,1,,LOT 36 BLK X CIRCLE C RANCH PHS B SEC 14,6033 MORDRED LANE,30.18207985,-97.89406701,,,,,
1995-006888 PP,R- 101 Single Family Houses,New,6033 Mordred Lane                  C  00000,06/26/1995,New Two Story Residence W/Att Garage & Entry,VOID,,,,,,,,,,,,,,,,,,,,,,,,111790,,1,,LOT 36 BLK X CIRCLE C RANCH PHS B SEC 14,6033 MORDRED LANE,30.18207985,-97.89406701,,,,,
1995-006890 BP,R- 101 Single Family Houses,New,11305 Pompey Court                  C  00000,06/26/1995,New Two Story Res W/Att Garage & Porch,Expired,,,,,,,,,,,,,,,,,,,,,,,,113610,,1,,Lot: 36 Block: SS Subdivision: CIRCLE C RANCH PH B SEC 14,11305 POMPEY COURT,30.18311993,-97.89264946,,,,,
1995-006890 EP,R- 101 Single Family Houses,New,11305 Pompey Court                  C  00000,06/26/1995,New Two Story Res W/Att Garage & Porch,VOID,,,,,,,,,,,,,,,,,,,,,,,,113610,,1,,Lot: 36 Block: SS Subdivision: CIRCLE C RANCH PH B SEC 14,11305 POMPEY COURT,30.18311993,-97.89264946,,,,,
1995-006890 MP,R- 101 Single Family Houses,New,11305 Pompey Court                  C  00000,06/26/1995,New Two Story Res W/Att Garage & Porch,VOID,,,,,,,,,,,,,,,,,,,,,,,,113610,,1,,Lot: 36 Block: SS Subdivision: CIRCLE C RANCH PH B SEC 14,11305 POMPEY COURT,30.18311993,-97.89264946,,,,,
1995-006890 PP,R- 101 Single Family Houses,New,11305 Pompey Court                  C  00000,06/26/1995,New Two Story Res W/Att Garage & Porch,VOID,,,,,,,,,,,,,,,,,,,,,,,,113610,,1,,Lot: 36 Block: SS Subdivision: CIRCLE C RANCH PH B SEC 14,11305 POMPEY COURT,30.18311993,-97.89264946,,,,,
1995-006892 BP,R- 101 Single Family Houses,New,10008 China Garden Cove             C .00000,06/26/1995,New Two Story Res W/Att Brzwy & Garage & Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,164850,,1,,,10008 CHINA GARDEN COVE,30.37414955,-97.84594211,,,,,
1995-006892 EP,R- 101 Single Family Houses,New,10008 China Garden Cove             C .00000,06/26/1995,New Two Story Res W/Att Brzwy & Garage & Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,164850,,1,,,10008 CHINA GARDEN COVE,30.37414955,-97.84594211,,,,,
1995-006892 MP,R- 101 Single Family Houses,New,10008 China Garden Cove             C .00000,06/26/1995,New Two Story Res W/Att Brzwy & Garage & Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,164850,,1,,,10008 CHINA GARDEN COVE,30.37414955,-97.84594211,,,,,
